Title,Year,Movie_Hits,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,budget,revenue,runtime,tagline,Revenue-Budget Ratio,Revenue-Runtime Ratio,tagline_compound,tagline_neutral,tagline_negative,tagline_positive,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,Rating,overview,overview_positive,overview_negative,overview_neutral,overview_compound,overview_processes,Personal Growth Drama,Group Conflict,Mission-Driven Thriller,Small-Town Heroism
The Ritual,2017,30.0,83,1,0,0,0,1000000.0,1786396.0,94.0,Your darkest dream awaits you.,1.786396,19004.212765957447,-0.2263,0.235,0.376,0.388,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,R,"A group of college friends reunite for a trip to the forest, but encounter a menacing presence in the woods that's stalking them.",0.097,0.0,0.903,0.2617,a group of college friends reunite for a trip to the forest but encounter a menacing presence in the woods that's stalking them,0.022175302729010582,0.021951574832201004,0.02166696824133396,0.9342061877250671
The Road to Wellville,1994,6.0,58,0,0,1,0,25000000.0,26000000.0,118.0,A comedy of the heart and other organs.,1.04,220338.98305084743,0.3612,0.706,0.0,0.294,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,R,"An unhappy young couple visit the infamous Kellogg spa in Battle Creek, Michigan while a young hustler tries get into the breakfast-cereal business and compete against John Kellogg's corn flakes.",0.0,0.167,0.833,-0.6597,an unhappy young couple visit the infamous kellogg spa in battle creek michigan while a young hustler tries get into the breakfast-cereal business and compete against john kellogg's corn flakes,0.012628377415239811,0.012321511283516884,0.9626742005348206,0.012375841848552227
The Rugrats Movie,1998,16.0,63,1,0,0,0,30000000.0,100491683.0,80.0,An adventure for anyone who's ever worn diapers.,3.3497227666666665,1256146.0375,0.0258,0.571,0.21,0.219,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,G,"Based on the popular Nickelodeon TV series Rugrats, this is the first full-length feature animated movie to star the little tots. It's the story of diaper-clad kids, told from a baby's point- of-view, and they were one of the hottest-selling toy franchises of the late '90s.",0.06,0.0,0.94,0.4215,based on the popular nickelodeon tv series rugrats this is the first full-length feature animated movie to star the little tots it's the story of diaper-clad kids told from a baby's point- of-view and they were one of the hottest-selling toy franchises of the late '90s,0.0,0.9729562997817993,0.0,0.0
The Ruins,2008,20.0,67,0,0,1,0,8000000.0,22818256.0,91.0,Terror has evolved.,2.852282,250750.065934066,-0.5267,0.37,0.63,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,R,"Americans Amy, Stacy, Jeff and Eric look for fun during a sunny holiday in Mexico, but they get much more than that after visiting an archaeological dig in the jungle.",0.185,0.0,0.815,0.5994,americans amy stacy jeff and eric look for fun during a sunny holiday in mexico but they get much more than that after visiting an archaeological dig in the jungle,0.015360759571194649,0.015895165503025055,0.015340323559939861,0.9534037113189697
The Runaways,2010,47.0,67,1,0,0,0,10000000.0,2995811.0,107.0,It's 1975 and they're about to explode.,0.2995811,27998.23364485981,0.0,1.0,0.0,0.0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,R,"Joan Jett and Cherie Currie, two rebellious teenagers from Southern California, become the frontwomen for The Runaways -- the now-legendary group that paved the way for future generations of female rockers. Under the Svengali-like influence of impresario Kim Fowley, the band becomes a huge success.",0.122,0.045,0.833,0.5859,joan jett and cherie currie two rebellious teenagers from southern california become the frontwomen for the runaways -- the now-legendary group that paved the way for future generations of female rockers under the svengali-like influence of impresario kim fowley the band becomes a huge success,0.0,0.0,0.0,0.9747316241264343
The Sandlot,1993,2.0,79,0,0,0,1,7000000.0,34348444.0,101.0,They're more than a team. They're the best buddies in the entire history of the world.,4.906920571428572,340083.603960396,0.6369,0.769,0.0,0.231,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,PG,"During a summer of friendship and adventure, one boy becomes a part of the gang, nine boys become a team and their leader becomes a legend by confronting the terrifying mystery beyond the right field wall.",0.135,0.138,0.727,-0.0258,during a summer of friendship and adventure one boy becomes a part of the gang nine boys become a team and their leader becomes a legend by confronting the terrifying mystery beyond the right field wall,0.012389197014272213,0.012325356714427471,0.9630463719367981,0.01223901379853487
The Santa Clause,1994,6.0,72,0,0,0,1,22000000.0,189833357.0,97.0,"This Christmas, the snow hits the fan.",8.628788954545454,1957044.9175257727,0.3182,0.723,0.0,0.277,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,PG,"On Christmas Eve, divorced dad Scott Calvin and his son discover Santa Claus has fallen off their roof. When Scott takes the reins of the magical sleigh, he finds he is now the new Santa, and must convince a world of disbelievers, including himself.",0.044,0.055,0.901,-0.128,on christmas eve divorced dad scott calvin and his son discover santa claus has fallen off their roof when scott takes the reins of the magical sleigh he finds he is now the new santa and must convince a world of disbelievers including himself,0.9672318696975708,0.010956433601677418,0.010876231826841831,0.010935492813587189
The Santa Clause 2,2002,15.0,66,0,0,0,1,65000000.0,172842355.0,104.0,What's Christmas Fun without some Reindeer Games?,2.6591131538461537,1661945.7211538462,0.5106,0.645,0.0,0.355,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,G,"Better watch out! The big guy in red is coming to town once again. This time, Scott Calvin -- also known as Santa Claus -- finds out there's an obscure clause in his contract requiring him to take on a wife. He has to leave the North Pole to fulfill his obligations, or else he'll be forced to give up his Yuletide gig.",0.089,0.062,0.849,0.4389,better watch out the big guy in red is coming to town once again this time scott calvin -- also known as santa claus -- finds out there's an obscure clause in his contract requiring him to take on a wife he has to leave the north pole to fulfill his obligations or else he'll be forced to give up his yuletide gig,0.9227308630943298,0.0,0.0,0.060525957494974136
The Santa Clause 3: The Escape Clause,2006,9.0,61,0,0,0,1,12000000.0,84500122.0,92.0,'Twas the Fight Before Christmas...,7.041676833333334,918479.5869565216,-0.3818,0.606,0.394,0.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,G,"Now that Santa and Mrs. Claus have the North Pole running smoothly, the Counsel of Legendary Figures has called an emergency meeting on Christmas Eve! The evil Jack Frost has been making trouble, looking to take over the holiday! So he launches a plan to sabotage the toy factory and compel Scott to invoke the little-known Escape Clause and wish he'd never become Santa.",0.092,0.178,0.729,-0.8217,now that santa and mrs claus have the north pole running smoothly the counsel of legendary figures has called an emergency meeting on christmas eve the evil jack frost has been making trouble looking to take over the holiday so he launches a plan to sabotage the toy factory and compel scott to invoke the little-known escape clause and wish he'd never become santa,0.0,0.0,0.0,0.9801875948905945
The Secret,2006,92.0,60,1,0,0,0,3500000.0,65600000.0,90.0,The secret has traveled through centuries to reach you,18.742857142857144,728888.8888888889,0.0258,0.879,0.0,0.121,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,PG,"Interviews with leading authors, philosophers and scientists, with an in-depth discussion of the Law of Attraction. The audience is shown how they can learn and use 'The Secret' in their everyday lives.",0.088,0.0,0.912,0.4588,interviews with leading authors philosophers and scientists with an in-depth discussion of the law of attraction the audience is shown how they can learn and use 'the secret' in their everyday lives,0.015347907319664955,0.015154590830206871,0.9540812373161316,0.015416284091770649
The Secret Life of Walter Mitty,2013,35.0,80,0,1,1,0,90000000.0,188133322.0,114.0,Stop dreaming. Start living.,2.0903702444444443,1650292.298245614,-0.296,0.577,0.423,0.0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,PG,A timid magazine photo manager who lives life vicariously through daydreams embarks on a true-life adventure when a negative goes missing.,0.095,0.326,0.579,-0.6808,a timid magazine photo manager who lives life vicariously through daydreams embarks on a true-life adventure when a negative goes missing,0.01864393800497055,0.01855332963168621,0.762946605682373,0.19985611736774445
