Title,Year,Movie_Hits,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,budget,revenue,runtime,tagline,Revenue-Budget Ratio,Revenue-Runtime Ratio,compound,neutral,negative,positive,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,Rating,title,tmdb_id,overview,status
The Fourth Kind,2009,32.0,67,1,0,0,0,10000000.0,47709193.0,98.0,There are four kinds of alien encounters. The fourth kind is abduction.,4.7709193,486828.5,-0.1027,0.581,0.221,0.198,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,PG-13,The Fourth Kind,22824,"Since the 1960s, a disproportionate number of the population in and around Nome, Alaska, have gone missing. Despite FBI investigations, the disappearances remain a mystery. Dr. Abigail Tyler, a psychologist, may be on the verge of blowing the unsolved cases wide open when, during the course of treating her patients, she finds evidence of alien abductions.",success
The Fox and the Hound,1981,3.0,74,0,0,0,1,12000000.0,29800000.0,82.0,A story of two friends who didn't know they were supposed to be enemies.,2.4833333333333334,363414.6341463415,-0.0258,0.636,0.185,0.179,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,G,The Fox and the Hound,10948,"When a feisty little fox named Tod is adopted into a farm family, he quickly becomes friends with a fun and adorable hound puppy named Copper. Life is full of hilarious adventures until Copper is expected to take on his role as a hunting dog -- and the object of his search is his best friend!",success
The French Connection,1971,0.0,77,0,0,1,0,1800000.0,41200000.0,104.0,Doyle is bad news—but a good cop.,22.88888888888889,396153.8461538461,-0.1531,0.385,0.337,0.279,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,R,The French Connection,1051,Tough narcotics detective 'Popeye' Doyle is in hot pursuit of a suave French drug dealer who may be the key to a huge heroin-smuggling operation.,success
The Game Plan,2007,13.0,68,0,0,0,1,22000000.0,147880543.0,110.0,"Half his size, twice the trouble ... and she's moving in.",6.721842863636364,1344368.5727272728,-0.4019,0.787,0.213,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,PG,The Game Plan,13680,"Bachelor football star Joe Kingman seems to have it all. He is wealthy and carefree, and his team is on the way to capturing a championship. Suddenly, he is tackled by some unexpected news: He has a young daughter, the result of a last fling with his ex-wife. Joe must learn to balance his personal and professional lives with the needs of his child.",success
The German Doctor,2013,18.0,57,0,0,1,0,2000000.0,3635718.0,90.0,Nothing is more mysterious than the blood,1.817859,40396.86666666667,0.0,1.0,0.0,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,PG-13,The German Doctor,188761,"Patagonia, 1960. A German doctor meets an Argentinean family and follows them to a town where the family will be starting a new life. The family welcomes the doctor into their home and entrust their young daughter to his care, not knowing that he is one of the most dangerous criminals in the world.",success
The Ghazi Attack,2017,0.0,77,0,0,1,0,1900000.0,4300000.0,126.0,The War You Don't Know About,2.263157894736842,34126.98412698413,-0.5994,0.562,0.438,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,PG,The Ghazi Attack,442405,India’s first underwater war film tries to decode the mystery behind the sinking of Pakistani submarine PNS Ghazi during the Indo-Pak war of 1971.,success
The Ghost and the Darkness,1996,6.0,70,0,0,1,0,50000000.0,38619405.0,109.0,Prey For The Hunters,0.7723881,354306.46788990824,0.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,R,The Ghost and the Darkness,10586,"Sir Robert Beaumont is behind schedule on a railroad in Africa. Enlisting noted engineer John Henry Patterson to right the ship, Beaumont expects results. Everything seems great until the crew discovers the mutilated corpse of the project's foreman, seemingly killed by a lion. After several more attacks, Patterson calls in famed hunter Charles Remington, who has finally met his match in the bloodthirsty lions.",success
The Girl Next Door,2004,54.0,76,1,0,0,0,21000000.0,31635150.0,110.0,Matt never saw her coming... but all his friends had!,1.5064357142857143,287592.2727272727,0.6643,0.67,0.0,0.33,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,R,The Girl Next Door,10591,"Exceptionally ambitious high schooler Matthew has aspirations for a career in politics when he falls in love with his gorgeous 19-year-old neighbor, Danielle. But Matthew's bright future is jeopardized when he finds Danielle was once a porn star. As Danielle's past catches up with her, Matthew's love for her forces him to re-evaluate his goals.",success
The Girl with the Dragon Tattoo,2011,19.0,84,0,1,1,0,90000000.0,232617430.0,158.0,"What is hidden in snow, comes forth in the thaw.",2.584638111111111,1472262.2151898737,0.0,1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,R,The Girl with the Dragon Tattoo,15472,"Swedish thriller based on Stieg Larsson's novel about a male journalist and a young female hacker. In the opening of the movie, Mikael Blomkvist, a middle-aged publisher for the magazine Millennium, loses a libel case brought by corrupt Swedish industrialist Hans-Erik Wennerström. Nevertheless, he is hired by Henrik Vanger in order to solve a cold case, the disappearance of Vanger's niece",success
The Good Dinosaur,2015,15.0,75,0,0,0,1,175000000.0,332207671.0,93.0,A single kindness can change everything.,1.8983295485714289,3572125.494623656,0.4588,0.571,0.0,0.429,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,PG,The Good Dinosaur,105864,An epic journey into the world of dinosaurs where an Apatosaurus named Arlo makes an unlikely human friend.,success
